first_name,sex,occurrences
Enrico,M,254
Youssef,M,253
Nazariy,M,252
Romeo,M,252
Kirilo,M,252
Artom,M,251
Mikolaj,M,251
Fiodar,M,251
Konstiantyn,M,250
Vincenzo,M,248
Dimitrios,M,248
Jeffrey,M,248
Bernhard,M,247
Konstantinos,M,247
Dirk,M,247
Pietro,M,246
Franz,M,246
Braian,M,245
Jozef,M,245
Hektor,M,245
Anil,M,244
Zaur,M,244
Mikhailo,M,244
Christos,M,244
Guram,M,243
Aslan,M,243
Vakhtang,M,243
Carlo,M,243
Günter,M,243
Mauro,M,243
Ghenadie,M,241
Stanley,M,241
Ihnat,M,240
Rami,M,240
Ramil,M,240
Erich,M,239
Grygorii,M,239
Wojtek,M,239
Anar,M,239
Ryhor,M,238
Dobiesław,M,238
Tadei,M,237
Alessio,M,237
Rainer,M,236
Aram,M,236
Nadav,M,235
Pylyp,M,235
Amiran,M,235
Sobiesław,M,235
Orkhan,M,233
Darii,M,233
Pawel,M,233
German,M,233
Oles,M,233
Isaac,M,232
Ioannis,M,231
Mathieu,M,231
Van,M,230
Nir,M,230
Ramazan,M,230
Alvaro,M,229
Musa,M,229
Jörg,M,229
Heinrich,M,228
Radzisław,M,227
Nodar,M,226
Besik,M,225
Mattia,M,225
Dobrosław,M,224
Tigran,M,224
Modest,M,224
Khaled,M,223
Erhard,M,222
Yunus,M,222
Gotfryd,M,222
Sławek,M,221
Paskal,M,221
Omri,M,221
Kamal,M,221
Emin,M,220
Aziz,M,220
Lyubomyr,M,220
Rahul,M,219
Maik,M,219
Gal,M,218
Gennadiy,M,218
Akim,M,218
Yuri,M,218
Md,M,217
Yelysei,M,216
Gerald,M,216
Armando,M,216
Celestyn,M,216
Hakan,M,216
Elnur,M,216
Elchin,M,216
Yarema,M,215
Kenneth,M,215
Tiago,M,215
Nicolás,M,214
Mikael,M,213
Sergo,M,213
Archil,M,213
Guido,M,212
Vlad,M,212
Jaime,M,212
Maximillian,M,212
Stephan,M,211
Radu,M,210
Ashot,M,209
Uri,M,209
Adriano,M,209
Ivane,M,209
Idan,M,209
Enrique,M,209
Ignacio,M,209
Ilan,M,208
Wladyslaw,M,207
Johan,M,206
Domenico,M,206
Bożydar,M,206
Luciano,M,205
Lior,M,204
Tudor,M,204
Emilio,M,204
Telesfor,M,203
Bahdan,M,203
Adnan,M,202
Marsel,M,202
Tony,M,202
René,M,201
Muhammet,M,200
Nugzar,M,200
Goga,M,200
Ilias,M,200
